language,sentence
arabic,ويكيبيديا (تلفظ ‎[wi:ki:bi:dija:]‏ وت
arabic,لحن ‎[wikipi:dia]‏؛ تلفظ بالإنجليزية 
arabic,‎/ˌwɪkiˈpi:di.ə/‏)[10] والكلمة مشتقة
arabic," من مقطعين: wiki وتعني بلغة هاواي ""ب"
arabic,"الغ السرعة""، والثاني pedia ومشتق من "
arabic,كلمة موسوعة encyclopedia، ويكيبيديا 
arabic,هي موسوعة متعددة اللغات، مبنية على ا
arabic,لويب، ذات محتوى حر، تشغلها مؤسسة ويك
arabic,يميديا، التي هي منظمة غير ربحية. ويك
arabic,يبيديا هي موسوعة يمكن لأي مستخدم تعد
arabic,يل وتحرير وإنشاء مقالات جديدة فيها.
arabic,في مارس 2009 كان في ويكيبيديا 15 مليو
arabic,ن مقالة تقريبًا، مكتوبة بما يقارب 292
arabic, لغة. في يوم 17 أغسطس، 2009: وصلت ويك
arabic,يبيديا الإنجليزية لثلاثة ملايين مقالة
arabic,.[11] تكتب المقالات تعاونيًا بواسطة م
arabic,تطوعين من حول العالم والغالبية العظمى
arabic, من محتويات الموسوعة يمكن تعديلها بوا
arabic,سطة أي شخص يمتلك اتصالاً بالإنترنت. ش
arabic,هرة ويكيبيديا تنمو بثبات منذ بداية عم
arabic,لها. ويكيبيديا من الإنجليزية Wikiped
arabic,ia هي اختصار لكلمتين هما: ويكي بالإن
arabic,جليزية Wiki (نوع من مواقع الويب التي
arabic, يتم تحريرها جماعيا)، والكلمة الثاني
arabic,ة هي بيديا من كلمة Encyclopedia والت
arabic,ي تعني بالعربية موسوعة. تنتشر خوادم 
arabic,ويكيبيديا الرئيسية في تامبا، فلوريدا
arabic,، وخوادم أخرى موجودة في أمستردام وسي
arabic,ول. يعد ويكيبيديا من أشهر عشرة مواقع
arabic, على الإنترنت على مستوى العالم.[12]
arabic,نتيجة لطبيعة ويكيبيديا التي تسمح لأي 
arabic,مستخدم بتعديل مقالاتها، شكك النقاد وا
arabic,لمحللون بها وتساءلوا عن مدى مصداقيتها
arabic, ودقتها.[13][14] إذ أن بإمكان أي مستخ
arabic,دم أن يجري تعديلات على محتويات الموسو
arabic,عة، تزيد احتمالية أن يضيف مجهولون أو 
arabic,مستخدمو الموسوعة المسجلون معلومات خاط
arabic,ئة أو غير مؤكدة، أو يقوم المخربون بحذ
arabic,ف أقسام من مقالات أو إضافة تعليقات شخ
arabic,صية أو آراء متحيزة، خاصةً في المواضيع
arabic, السياسية والدينية. أيضا تثار الشكوك 
arabic,حول حيادية المقالات في ويكيبيديا، ومد
arabic,ى دقة المعلومات الواردة بهذه المقالات
arabic,. حدد القائمون على موسوعة ويكيبيديا م
arabic,جموعة من السياسات والتعليمات التي يجب
arabic, على مستخدمي الموسوعة الالتزام بها ع
arabic,ند تحرير وتعديل محتويات الموسوعة، هذ
arabic,ه السياسات تهدف إلى التصدي لمحاولات 
arabic,التخريب، وتحاول ضمان مصداقية المعلوم
arabic,ات التي تحويها مقالات هذه الموسوعة.
arabic,بدأ مشروع ويكيبيديا في 15 يناير 2001 كم
arabic,تمم لمشروع نيوبيديا الذي يكتبه محررون خ
arabic,براء. وبسبب بطء تطوّر نيوبيديا فقد قرّر
arabic, جيمي ويلز ولاري سانجر أن ينشئا مشروعا 
arabic,مفتوحاً ليدعم نيوبيديا وهو ويكيبيديا.
arabic,وأصبحت تحتوي على 600 ألف مقالة بالإنج
arabic,ليزية و2 مليون مقالة باللغات الأخرى م
arabic,جتمعة حسب ما ذكر جيمي ويليز[10] اللغا
arabic,ت الكبرى مثل الألمانية واليابانية وال
arabic,فرنسية واللغات الأوربية الغربية كبيرة
arabic, أيضا، ثلث الزيارات فقط للإنجليزية عل
arabic,ى عكس ما يظن البعض، ومدى شهرة ويكيبيد
arabic,يا أنها من أكبر 50 موقعا في العالم وت
arabic,عددت زيارات الصفحات زيارة صفحات الني
arabic,ويورك تيمز،[10] لدى نيويورك تيمز وال
arabic,مواقع الأخرى موظفين مسؤولين عن الموق
arabic,ع وهم كثيرين يتقاضون مرتبات، أما ويك
arabic,يبيديا فيوجد واحد فقط وهو المطور للب
arabic,رنامج نفسه وتم تعيينه منذ يناير 2005
arabic,، والخوادم تتم إدارتها بواسطة متطوعي
arabic,ن والتحرير يتم أيضا بواسطة متطوعين.
arabic,مجموعة أخرى من المتطوعين هم الإداريون،
arabic, البيروقراطيون، المضيفون، مدققو المست
arabic,خدم، سفراء بين اللغات الأخرى لويكيبيد
arabic,يا... الإداريون هم مجموعة من المستخدم
arabic,ين الذين لهم ميزات خاصة. من هذه الميز
arabic,ات القدرة على حذف الصفحات واسترجاعها،
arabic, حماية وإزالة حماية الصفحات ومنع المس
arabic,تخدمين من التحرير. تمول ويكيبيديا بوا
arabic,سطة مؤسسة ويكيميديا، في الربع الرابع 
arabic,من سنة 2005 تم صرف 321.000 دولار أمري
arabic,كي على ويكيبيديا، 60% من المصروفات كا
arabic,نت على المكونات المادية.[15] تعتمد وي
arabic,كيميديا على التبرعات بشكل أساسي.[16]
arabic,وتعتمد ويكيبيديا على برنامج ميدياويكي، وه
arabic,و برنامج ويكي مفتوح المصدر مرخص تحت رخصة 
arabic,جنو العمومية. مبني بلغة بي إتش بي، ويعتم
arabic,د على قواعد بيانات ماي إس كيو إل. يقدم ه
arabic,ذا البرنامج العديد من المزايا البرمجية، 
arabic,مثل الماكرو، والمتغيرات. يستخدم هذا البر
arabic,نامج في ويكيبيديا ومشاريع ويكيميديا الأخ
arabic,رى بالإضافة إلى العديد من مواقع الويكي.
arabic,تعمل خوادم ويكيبيديا بنظام جنو/لينكس. 3
arabic,00 خادم في فلوريدا، 26 في أمستردام، و 
arabic,23 في مركز استضافة شركة ياهو في سيول.
arabic,"وصُفت ويكيبيديا بأنها ""مجهود لإنشاء وتوز"
arabic,يع موسوعة ذات أفضل جودة ممكنة لكل فرد عل
arabic,"ى الكوكب بلغته الأم""[17]. في النصف الثان"
arabic,ي من أغسطس 2009 كانت ويكيبيديا تصدر بأكث
arabic,ر من 260 لغة. الإصدارات ال27 الأولى من ح
arabic,يث عدد المقالات كل واحدة منها يحتوي على 
arabic,"أكثر من 100,000 مقالة، والـ174 الأولى ت"
arabic,حتوي كل منها على أكثر من 1000 مقالة.[1]
arabic, الآن تصدر ب301 لغة منها 291 لغة نشطة.
arabic,لما كانت ويكيبيديا موسوعة متاحة عبر ا
arabic,لويب، فهي موسوعة عالمية، وقد يستخدم ا
arabic,لمشاركون الذين يستخدمون نفس اللغة لهج
arabic,ات متباينة، أو ربما يأتون من بلاد مخت
arabic,لفة (هذه هي الحال في العديد من الويكي
arabic,بيديات، منها الويكيبيديا الإنجليزية و
arabic,الصينية)، هذا قد يؤدي إلى اختلافات في
arabic, التهجئة،[18] أو في وجهات النظر. يتلق
arabic,ى نطاق ويكيبيديا الإنجليزية 57% من مج
arabic,موع زوار ويكيبديا، 16% لويكيبيديا الإ
arabic,سبانية، 4% لويكيبيديا الألمانية، ونفس
arabic, النسبة لويكيبيديا اليابانية، أما ويك
arabic,يبيديا العربية فتتلقى 1% من زوار ويكي
arabic,بيديا.[19]يمكن للمحررين في إحدى موسو
arabic,عات ويكيبيديا أن يترجموا المقالات من 
arabic,لغة إلى لغة أخرى، وهذا يلقى تشجيعاً ف
arabic,ي مجتمع ويكيبيديا (انظر:ويكيبيديا:ترج
arabic,مة مقالات للعربية). المقالات الموجودة
arabic, بأكثر من لغة يمكن ربطها بروابط إنترو
